,ID,datetime,Acceleration x,Acceleration y,Acceleration z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,La,Lo,He,V,D,Ho,VA,Magnetic field x,Magnetic field y,Magnetic field z,Weather,Temperature (Celsius),UV index,Wind (m/s),Humidity (%),hate-enjoy,bored-interested,absorbed,tiring-energizing,depressed-happy,bad-good_physically,sense_accomplishment
0,1.0,2023-06-08 18:54:42.564081,-1.7309398859197447,0.6147866960005327,9.390569180575286,-0.03894120079211215,-0.11865224967287348,0.09885980232195418,-0.004460911304134913,0.06800524794938739,-0.017460139317795484,52.28899584086675,4.980896578473087,-1.260890531729931,0.8136008799075947,45.5890548340374,5.485913894866742,5.485913894866742,-8.084540396025687,10.906441967896741,-48.09068930269492,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
1,1.0,2023-06-08 18:54:52.564081,-3.8387402984619143,0.05170697479248046,8.591753855895996,-0.45159799844697124,-0.36358003299236297,0.5628834668196739,-0.08617717351764441,0.06446357348933816,0.033747252388857306,52.28904039950206,4.981031155284674,-1.4021779360249638,1.1403429031371863,53.63922339945141,5.378167330649466,5.378167330649466,3.9320002746582032,12.889940528869628,-43.938778686523435,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
2,1.0,2023-06-08 18:55:02.564081,1.0910646194458011,-9.508088328552248,1.1272024703979493,0.057719171461835514,0.08762129253745078,-0.13702201913036405,-0.0054082822613418105,0.013044588938355446,-0.07263144891010598,52.28910734689881,4.981161807447608,-1.327756804600358,1.1771291084731863,54.65127079022356,4.789355143076003,4.789355143076003,-23.895611724853516,42.08057220458984,1.9576844787597656,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
3,1.0,2023-06-08 18:55:12.564081,0.8377986977317116,-9.629563099254261,1.1478660306063566,-0.1105127110129053,0.03792701341889121,0.03033596979623492,0.012373017561104562,0.032523461579900194,0.003288487027131134,52.28916542523465,4.981295209395159,-1.2026156401261687,1.10159776127322,54.33800628057188,4.896880269923074,4.896880269923074,-23.65144563925387,42.1655045711633,3.846281263563368,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
4,1.0,2023-06-08 18:55:22.564081,1.0488913192749023,-9.652014033508301,0.8084852462768555,-0.06220779203921558,0.007890712273120897,0.04011646276228127,-0.008854852579534054,-0.0343753520026803,-0.005837740870192647,52.289227740578255,4.981431292013049,-1.2308656931854784,1.0978460474277658,51.061695363153184,4.887415244744589,4.887415244744589,-24.76749008178711,41.20207164764404,4.083949584960937,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
5,1.0,2023-06-08 18:55:32.564081,1.3665053375244138,-9.861347721862792,0.14648089141845705,-0.040567352890223264,-0.18800550148487097,-0.09267885103505107,-0.01750606007874012,0.013454654249362647,-0.021244624345563352,52.28929318770595,4.981562635790846,-1.4138247120194136,1.1644339598253244,50.88428122129053,4.816203047691163,4.816203047691163,-27.80067565917969,39.292056007385256,6.907052459716797,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
6,1.0,2023-06-08 18:55:42.564081,1.4767136581420897,-9.532739067077635,0.21369262390136715,-0.023651946383714702,0.11940439454913143,0.05673861788213258,0.004904215764254332,0.013485862361267208,-0.0006378992553800344,52.289357803052084,4.9816917512003265,-1.4302651163190603,1.176460595036286,51.08626753113424,4.811283415665889,4.811283415665889,-28.52554718017578,39.08150768280029,7.705272979736328,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
7,1.0,2023-06-08 18:55:52.564081,1.373472636829723,-9.71065960970792,0.05702837857333097,-0.05791725797409359,-0.02134899941357699,-0.025308320229365067,-0.01686302615762359,-0.005843710618780342,-0.0036289614620571486,52.28942488691306,4.981803879734988,-1.0277577209286393,1.1254076307893368,51.01038174619525,4.832395007792725,4.832395007792725,-28.015471641463463,39.144120726922544,7.68448723687066,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
8,1.0,2023-06-08 18:56:02.564081,1.1493593948364258,-9.585832159423829,0.3305351486206055,-0.13199196392521265,0.16382312493324278,0.15642873163372278,0.015269156671129167,-0.027735781371593476,-0.0090938924063812,52.28948978069003,4.9819405080842225,-1.0846173383295536,1.1783774656233241,51.77676256707623,4.846624616809862,4.846624616809862,-27.871730041503906,39.589724731445315,7.364283599853516,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
9,1.0,2023-06-08 18:56:12.564081,1.2951831527709965,-9.86450166320801,0.010162367248535134,0.005798623097687977,-0.1732783357679844,-0.15293247098671275,0.027306532226502894,0.004462993978522718,-0.003600866509368643,52.28954954043586,4.982081188249494,-0.9041542194783687,1.1761593116251616,53.427054125209644,4.8427152252035155,4.8427152252035155,-27.794644470214845,39.52556606292725,6.761445922851562,Sunny,22.0,1,6.0,54.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
